	text	position	preceding	hit	following
0	Tucholsky	111	a, oder sind Sie für die Ostsee da? Was 	sich	 diese Leute erlauben! Nu geben Sie scho
1	Tucholsky	599	rm? Sechzehn Grad? Das Thermometer geht 	sich	er nach. Wo wohnen Sie? Wir wohnen im Pa
2	Tucholsky	951	ächlich: er war bei mir zur Geschäftsauf	sich	t. Gumpel – haben Sie die Abendzeitung? 
3	Tucholsky	1108	mach auch fast gar nichts mehr. Was tut 	sich	 noch? Entwaffnungsnote? Meine Badehose 
4	Münchhausen	744	nen hinauszuschreyen vermag: so läßt er 	sich	 in solchen Fällen niemals auf Widerlegu
5	Münchhausen	1431	chtigte Prahlhänse gerathen, zu bitten, 	sich	 bey jeder schicklichen Gelegenheit eben
6	Münchhausen	2690	 ist in der deutschen Uebersetzung, die 	sich	 eben nicht ängstlich an die Worte binde
7	Münchhausen	2835	e bey einer künftigen Auflage, deren es 	sich	 nicht ganz ohne Ursache schmeichelt, le
8	Münchhausen	5018	ich gegen Nordost hin kam. Nun kann man 	sich	 einbilden, wie bey so strengem Wetter, 
9	Münchhausen	5982	n, der über dem Schnee hervorragte. Zur 	Sich	erheit nahm ich meine Pistolen unter den
10	Münchhausen	6660	 zugeschneyet gewesen; das Wetter hatte 	sich	 auf einmal umgesetzt; ich war im Schlaf
11	Münchhausen	8101	eschah unmittelbar. Der Wolf bekümmerte 	sich	 nicht im mindesten um meine Wenigkeit, 
12	Münchhausen	8449	ar, so erhob ich ganz verstohlen mein Ge	sich	t und nahm mit Entsetzen wahr, daß der W
13	Münchhausen	8497	d nahm mit Entsetzen wahr, daß der Wolf 	sich	 beynahe über und über in das Pferd hine
14	Münchhausen	8579	neingefressen hatte. Kaum aber hatte er 	sich	 so hübsch hineingezwänget, so nahm ich 
15	Münchhausen	10367	n der Welt zu verjunkeriren. Sie können 	sich	 leicht vorstellen, meine Herren, daß ic
16	Münchhausen	11033	das so über Hals und Kopf, daß ich unvor	sich	tiger Weise mit dem Gesichte gegen die T
17	Münchhausen	11059	 daß ich unvorsichtiger Weise mit dem Ge	sich	te gegen die Thürpfoste rennte. Feuer un
18	Münchhausen	11491	en. Glücklicher Weise fiel mir ein, was 	sich	 so eben mit meinen Augen zugetragen hat
19	Kraus	182	 den kleinsten Stoß zu rächen, sie, die 	sich	 das Maß der Schöpfung dünkt und nur der
20	Kraus	508	nd aus den Augen starrt die Ahnung, daß 	sich	 das Größte begeben hat. Ringsum ist all
21	Kraus	1738	h Stricke unter das Kinn gezogen, das Ge	sich	t mit ungelöschtem Kalk beworfen– so kam
